,common words,count
0,rice,828
1,cooker,572
2,pressure,306
3,cook,250
4,cuckoo,222
5,cooking,208
6,time,204
7,pot,166
8,good,156
9,like,152
10,product,146
11,use,146
12,multi,136
13,just,126
14,great,120
15,steam,114
16,used,114
17,korean,114
18,make,108
19,love,94
20,using,90
21,ve,90
22,cooked,88
23,easy,84
24,does,82
25,quality,80
26,don,72
27,cookers,68
28,water,66
29,warm,64
30,best,64
31,mode,62
32,came,60
33,clean,60
34,recipes,60
35,perfect,58
36,voice,56
37,food,54
38,recipe,54
39,recommend,54
